'Elapsed time','V1'
'seconds','mV'
0.000,-0.335
0.003,-0.335
0.006,-0.335
0.008,-0.335
0.011,-0.335
0.014,-0.335
0.017,-0.335
0.019,-0.335
0.022,-0.330
0.025,-0.320
0.028,-0.320
0.031,-0.315
0.033,-0.300
0.036,-0.315
0.039,-0.310
0.042,-0.320
0.044,-0.330
0.047,-0.330
0.050,-0.340
0.053,-0.340
0.056,-0.335
0.058,-0.320
0.061,-0.330
0.064,-0.320
0.067,-0.305
0.069,-0.310
0.072,-0.320
0.075,-0.330
0.078,-0.335
0.081,-0.345
0.083,-0.350
0.086,-0.345
0.089,-0.335
0.092,-0.325
0.094,-0.330
0.097,-0.320
0.100,-0.310
0.103,-0.330
0.106,-0.325
0.108,-0.320
0.111,-0.330
0.114,-0.340
0.117,-0.340
0.119,-0.335
0.122,-0.345
0.125,-0.330
0.128,-0.315
0.131,-0.320
0.133,-0.315
0.136,-0.320
0.139,-0.320
0.142,-0.330
0.144,-0.345
0.147,-0.340
0.150,-0.345
0.153,-0.340
0.156,-0.345
0.158,-0.335
0.161,-0.325
0.164,-0.315
0.167,-0.310
0.169,-0.310
0.172,-0.330
0.175,-0.330
0.178,-0.330
0.181,-0.345
0.183,-0.350
0.186,-0.345
0.189,-0.340
0.192,-0.335
0.194,-0.320
0.197,-0.310
0.200,-0.300
0.203,-0.315
0.206,-0.315
0.208,-0.315
0.211,-0.315
0.214,-0.310
0.217,-0.325
0.219,-0.310
0.222,-0.295
0.225,-0.275
0.228,-0.275
0.231,-0.250
0.233,-0.240
0.236,-0.255
0.239,-0.260
0.242,-0.265
0.244,-0.290
0.247,-0.310
0.250,-0.320
0.253,-0.325
0.256,-0.340
0.258,-0.340
0.261,-0.335
0.264,-0.315
0.267,-0.300
0.269,-0.320
0.272,-0.305
0.275,-0.330
0.278,-0.315
0.281,-0.330
0.283,-0.340
0.286,-0.325
0.289,-0.330
0.292,-0.320
0.294,-0.310
0.297,-0.320
0.300,-0.315
0.303,-0.325
0.306,-0.335
0.308,-0.345
0.311,-0.350
0.314,-0.365
0.317,-0.370
0.319,-0.365
0.322,-0.360
0.325,-0.345
0.328,-0.345
0.331,-0.340
0.333,-0.335
0.336,-0.345
0.339,-0.345
0.342,-0.355
0.344,-0.355
0.347,-0.355
0.350,-0.360
0.353,-0.365
0.356,-0.365
0.358,-0.340
0.361,-0.345
0.364,-0.345
0.367,-0.335
0.369,-0.345
0.372,-0.350
0.375,-0.350
0.378,-0.350
0.381,-0.345
0.383,-0.365
0.386,-0.350
0.389,-0.350
0.392,-0.345
0.394,-0.345
0.397,-0.335
0.400,-0.315
0.403,-0.310
0.406,-0.300
0.408,-0.300
0.411,-0.295
0.414,-0.315
0.417,-0.350
0.419,-0.390
0.422,-0.440
0.425,-0.505
0.428,-0.585
0.431,-0.660
0.433,-0.740
0.436,-0.795
0.439,-0.835
0.442,-0.815
0.444,-0.775
0.447,-0.700
0.450,-0.605
0.453,-0.525
0.456,-0.450
0.458,-0.395
0.461,-0.375
0.464,-0.385
0.467,-0.395
0.469,-0.425
0.472,-0.430
0.475,-0.430
0.478,-0.390
0.481,-0.360
0.483,-0.325
0.486,-0.295
0.489,-0.275
0.492,-0.280
0.494,-0.265
0.497,-0.275
0.500,-0.265
0.503,-0.275
0.506,-0.285
0.508,-0.280
0.511,-0.285
0.514,-0.295
0.517,-0.300
0.519,-0.295
0.522,-0.290
0.525,-0.285
0.528,-0.285
0.531,-0.270
0.533,-0.255
0.536,-0.270
0.539,-0.265
0.542,-0.285
0.544,-0.285
0.547,-0.295
0.550,-0.300
0.553,-0.295
0.556,-0.310
0.558,-0.285
0.561,-0.270
0.564,-0.280
0.567,-0.270
0.569,-0.275
0.572,-0.285
0.575,-0.290
0.578,-0.285
0.581,-0.300
0.583,-0.305
0.586,-0.305
0.589,-0.300
0.592,-0.295
0.594,-0.285
0.597,-0.280
0.600,-0.285
0.603,-0.285
0.606,-0.280
0.608,-0.290
0.611,-0.295
0.614,-0.305
0.617,-0.310
0.619,-0.310
0.622,-0.310
0.625,-0.305
0.628,-0.300
0.631,-0.295
0.633,-0.285
0.636,-0.290
0.639,-0.275
0.642,-0.305
0.644,-0.315
0.647,-0.310
0.650,-0.320
0.653,-0.320
0.656,-0.310
0.658,-0.310
0.661,-0.300
0.664,-0.295
0.667,-0.285
0.669,-0.290
0.672,-0.300
0.675,-0.305
0.678,-0.310
0.681,-0.320
0.683,-0.315
0.686,-0.325
0.689,-0.320
0.692,-0.325
0.694,-0.305
0.697,-0.300
0.700,-0.305
0.703,-0.310
0.706,-0.305
0.708,-0.310
0.711,-0.330
0.714,-0.330
0.717,-0.325
0.719,-0.335
0.722,-0.320
0.725,-0.310
0.728,-0.305
0.731,-0.295
0.733,-0.290
0.736,-0.295
0.739,-0.295
0.742,-0.310
0.744,-0.330
0.747,-0.330
0.750,-0.340
0.753,-0.330
0.756,-0.335
0.758,-0.325
0.761,-0.315
0.764,-0.315
0.767,-0.310
0.769,-0.315
0.772,-0.315
0.775,-0.325
0.778,-0.320
0.781,-0.335
0.783,-0.340
0.786,-0.335
0.789,-0.335
0.792,-0.335
0.794,-0.325
0.797,-0.310
0.800,-0.305
0.803,-0.315
0.806,-0.325
0.808,-0.320
0.811,-0.335
0.814,-0.345
0.817,-0.340
0.819,-0.335
0.822,-0.340
0.825,-0.325
0.828,-0.320
0.831,-0.305
0.833,-0.305
0.836,-0.315
0.839,-0.295
0.842,-0.315
